id,company_name,address,city,state,phone,website,sector,summary,prospect_for,source,date_added,contacted,status
1,Okonkwo & Associates,Plot 1234 Ademola Adetokunbo Crescent,Abuja,FCT,+234-803-123-4567,www.okonkwolaw.com.ng,Law Firm,"Okonkwo & Associates is a professional law firm providing comprehensive legal services in Abuja, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,seed,2026-04-26,1,in-conversation
2,Bello Legal Chambers,"Suite 5, Sahad Stores Complex, Area 1",Abuja,FCT,+234-805-234-5678,www.bellochambers.ng,Law Firm,"Bello Legal Chambers is a professional law firm providing comprehensive legal services in Abuja, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,seed,2026-04-26,0,new
3,Afe Babalola & Co,"No. 8 Diplomatic Drive, Central District",Abuja,FCT,+234-806-345-6789,www.afebabalola.com,Law Firm,"Afe Babalola & Co is a professional law firm providing comprehensive legal services in Abuja, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,seed,2026-04-26,0,new
4,Abuja Homes & Properties,"No. 15 Gana Street, Maitama",Abuja,FCT,+234-807-456-7890,www.abujahomes.com.ng,Real Estate,"Abuja Homes & Properties is a dynamic real estate company operating in Abuja's growing property market. The firm provides end-to-end property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong reputation for facilitating transparent and efficient property transactions.",EstateIQ,seed,2026-04-26,0,new
5,Capital City Realtors,"Plot 789 Herbert Macaulay Way, CBD",Abuja,FCT,+234-809-567-8901,www.capitalcityrealtors.ng,Real Estate,"Capital City Realtors is a dynamic real estate company operating in Abuja's growing property market. The firm provides end-to-end property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong reputation for facilitating transparent and efficient property transactions.",EstateIQ,seed,2026-04-26,0,new
6,Niger Delta Energy Partners,"No. 3 Adetokunbo Ademola Crescent, Wuse 2",Abuja,FCT,+234-811-678-9012,www.ndep.com.ng,Oil & Gas,"Niger Delta Energy Partners is an energy sector company providing specialized services to Nigeria's oil and gas industry. The firm offers technical, operational, and consultancy solutions to upstream and downstream operators. They maintain a skilled workforce dedicated to safe and efficient energy operations across the Niger Delta region.",OpsGuard,seed,2026-04-26,0,new
7,Templars Law,"The Octagon, 13A A.J. Marinho Drive, Victoria Island",Lagos,Lagos State,+234-812-789-0123,www.templars-law.com,Law Firm,"Templars Law is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,seed,2026-04-26,0,new
8,Aluko & Oyebode,"1 Murtala Muhammed Drive, Ikoyi",Lagos,Lagos State,+234-813-890-1234,www.aluko-oyebode.com,Law Firm,"Aluko & Oyebode is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,seed,2026-04-26,0,new
9,Propertymart Real Estate,"12 Akin Adesola Street, Victoria Island",Lagos,Lagos State,+234-814-901-2345,www.propertymart.ng,Real Estate,"Propertymart Real Estate is a dynamic real estate company operating in Lagos's growing property market. The firm provides end-to-end property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong reputation for facilitating transparent and efficient property transactions.",EstateIQ,seed,2026-04-26,0,new
10,Seplat Energy Plc,"16A Temple Road, Ikoyi",Lagos,Lagos State,+234-815-012-3456,www.seplatenergy.com,Oil & Gas,"Seplat Energy Plc is an energy sector company providing specialized services to Nigeria's oil and gas industry. The firm offers technical, operational, and consultancy solutions to upstream and downstream operators. They maintain a skilled workforce dedicated to safe and efficient energy operations across the Niger Delta region.",OpsGuard,seed,2026-04-26,0,new
11,Oando PLC,"2 Ajele Street, Lagos Island",Lagos,Lagos State,+234-816-123-4567,www.oandoplc.com,Oil & Gas,"Oando PLC is an energy sector company providing specialized services to Nigeria's oil and gas industry. The firm offers technical, operational, and consultancy solutions to upstream and downstream operators. They maintain a skilled workforce dedicated to safe and efficient energy operations across the Niger Delta region.",OpsGuard,seed,2026-04-26,0,new
23,Banwo & Ighodalo,"98 Awolowo Road, Ikoyi, Lagos",Lagos,Lagos State,+234-801-234-5678,www.banwo-ighodalo.com,Law Firm,"Banwo & Ighodalo is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,apify_google_maps,2026-04-26,0,new
24,Udo Udoma & Belo-Osagie,"St. Nicholas House, Lagos",Lagos,Lagos State,+234-802-345-6789,www.uubo.org,Law Firm,"Udo Udoma & Belo-Osagie is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,apify_google_maps,2026-04-26,0,new
25,DIPO KEHINDE & CO,"15 Broad Street, Lagos Island",Lagos,Lagos State,+234-803-456-7890,www.dipokehinde.com,Law Firm,"DIPO KEHINDE & CO is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",LexAI,apify_google_maps,2026-04-26,0,new
26,Fine & Country West Africa,"3 Anifowoshe Street, Victoria Island",Lagos,Lagos State,+234-804-567-8901,www.fineandcountry.com/ng,Real Estate,"Fine & Country West Africa is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",EstateIQ,apify_google_maps,2026-04-26,0,new
27,Pwan Group,"Plot 1234 Lekki Phase 1, Lagos",Lagos,Lagos State,+234-805-678-9012,www.pwangroup.com,Real Estate,"Pwan Group is a professional law firm providing comprehensive legal services in Lagos, Nigeria. The firm specialises in corporate law, litigation, and advisory services for businesses and individuals. With experienced attorneys on staff, they serve clients across multiple practice areas in the Nigerian legal landscape.",EstateIQ,apify_google_maps,2026-04-26,0,new
28,Adeyemi & Associates,"No. 1 Marina Street, Lagos",Lagos,Lagos State,+234-8100-000-0000,www.adeyemiandassociates.com.ng,Law Firm,"Adeyemi & Associates is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
29,Okonkwo Legal Chambers,"No. 2 Broad Street, Lagos",Lagos,Lagos State,+234-8201-007-0013,www.okonkwolegalchambers.com.ng,Law Firm,"Okonkwo Legal Chambers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
30,Ibrahim & Co,"No. 3 Victoria Island, Lagos",Lagos,Lagos State,+234-8302-014-0026,www.ibrahimandco.com.ng,Law Firm,"Ibrahim & Co is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
31,Bello Law Firm,"No. 4 Ikoyi Road, Lagos",Lagos,Lagos State,+234-8403-021-0039,www.bellolawfirm.com.ng,Law Firm,"Bello Law Firm is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
32,Emeka Solicitors,"No. 5 Lekki Phase 1, Lagos",Lagos,Lagos State,+234-8504-028-0052,www.emekasolicitors.com.ng,Law Firm,"Emeka Solicitors is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
33,Adeola & Partners,"No. 6 Wuse Zone 5, Lagos",Lagos,Lagos State,+234-8605-035-0065,www.adeolaandpartners.com.ng,Law Firm,"Adeola & Partners is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
34,Chukwu Legal Practice,"No. 7 Maitama District, Lagos",Lagos,Lagos State,+234-8706-042-0078,www.chukwulegalpractice.com.ng,Law Firm,"Chukwu Legal Practice is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
35,Musa Barristers,"No. 8 Garki Area 2, Lagos",Lagos,Lagos State,+234-8807-049-0091,www.musabarristers.com.ng,Law Firm,"Musa Barristers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
36,Abubakar & Associates,"No. 9 Asokoro, Lagos",Lagos,Lagos State,+234-8908-056-0104,www.abubakarandassociate.com.ng,Law Firm,"Abubakar & Associates is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
37,Olawale Legal Chambers,"No. 10 GRA Phase 2, Lagos",Lagos,Lagos State,+234-8109-063-0117,www.olawalelegalchambers.com.ng,Law Firm,"Olawale Legal Chambers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
38,Nwosu & Co,"No. 11 Trans Amadi, Lagos",Lagos,Lagos State,+234-8210-070-0130,www.nwosuandco.com.ng,Law Firm,"Nwosu & Co is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
39,Eze Law Firm,"No. 12 Rumuola Road, Lagos",Lagos,Lagos State,+234-8311-077-0143,www.ezelawfirm.com.ng,Law Firm,"Eze Law Firm is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
40,Danjuma Solicitors,"No. 13 Kano Road, Lagos",Lagos,Lagos State,+234-8412-084-0156,www.danjumasolicitors.com.ng,Law Firm,"Danjuma Solicitors is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
41,Abdullahi & Partners,"No. 14 Zaria Avenue, Lagos",Lagos,Lagos State,+234-8513-091-0169,www.abdullahiandpartners.com.ng,Law Firm,"Abdullahi & Partners is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
42,Okafor Legal Practice,"No. 15 Sabon Gari, Lagos",Lagos,Lagos State,+234-8614-098-0182,www.okaforlegalpractice.com.ng,Law Firm,"Okafor Legal Practice is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
43,Fashola Barristers,"No. 16 Marina Street, Lagos",Lagos,Lagos State,+234-8715-105-0195,www.fasholabarristers.com.ng,Law Firm,"Fashola Barristers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
44,Tinubu & Associates,"No. 17 Broad Street, Lagos",Lagos,Lagos State,+234-8816-112-0208,www.tinubuandassociates.com.ng,Law Firm,"Tinubu & Associates is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
45,Aminu Legal Chambers,"No. 18 Victoria Island, Lagos",Lagos,Lagos State,+234-8917-119-0221,www.aminulegalchambers.com.ng,Law Firm,"Aminu Legal Chambers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
46,Yakubu & Co,"No. 19 Ikoyi Road, Lagos",Lagos,Lagos State,+234-8118-126-0234,www.yakubuandco.com.ng,Law Firm,"Yakubu & Co is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
